pid,order,file_name,label,_date,object_type,source,thumbnail,full,layout,collection
football-1901s,0,football-1901s.pdf,Notre Dame Scholastic Football Review - 1901,1901,newspaper,http://archives.nd.edu/Football/Football-1901s.pdf,/img/derivatives/simple/football-1901s/_image1/thumbnail.jpg,/img/derivatives/simple/football-1901s/_image1/fullwidth.jpg,scholastic_item,scholastic
football-1902s,1,football-1902s.pdf,Notre Dame Scholastic Football Review - 1902,1902,newspaper,http://archives.nd.edu/Football/Football-1902s.pdf,/img/derivatives/simple/football-1902s/_image1/thumbnail.jpg,/img/derivatives/simple/football-1902s/_image1/fullwidth.jpg,scholastic_item,scholastic
football-1903s,2,football-1903s.pdf,Notre Dame Scholastic Football Review - 1903,1903,newspaper,http://archives.nd.edu/Football/Football-1903s.pdf,/img/derivatives/simple/football-1903s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1903s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1904s,3,football-1904s.pdf,Notre Dame Scholastic Football Review - 1904,1904,newspaper,http://archives.nd.edu/Football/Football-1904s.pdf,/img/derivatives/simple/football-1904s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1904s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1905s,4,football-1905s.pdf,Notre Dame Scholastic Football Review - 1905,1905,newspaper,http://archives.nd.edu/Football/Football-1905s.pdf,/img/derivatives/simple/football-1905s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1905s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1906s,5,football-1906s.pdf,Notre Dame Scholastic Football Review - 1906,1906,newspaper,http://archives.nd.edu/Football/Football-1906s.pdf,/img/derivatives/simple/football-1906s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1906s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1907s,6,football-1907s.pdf,Notre Dame Scholastic Football Review - 1907,1907,newspaper,http://archives.nd.edu/Football/Football-1907s.pdf,/img/derivatives/simple/football-1907s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1907s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1908s,7,football-1908s.pdf,Notre Dame Scholastic Football Review - 1908,1908,newspaper,http://archives.nd.edu/Football/Football-1908s.pdf,/img/derivatives/simple/football-1908s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1908s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1909s,8,football-1909s.pdf,Notre Dame Scholastic Football Review - 1909,1909,newspaper,http://archives.nd.edu/Football/Football-1909s.pdf,/img/derivatives/simple/football-1909s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1909s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1910,9,football-1910.pdf,Notre Dame Gridiron Season - 1910,1910,newspaper,http://archives.nd.edu/Football/Football-1910.pdf,/img/derivatives/simple/football-1910/_image0/thumbnail.jpg,/img/derivatives/simple/football-1910/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1910c,10,football-1910c.pdf,Notre Dame Gridiron Season (color) - 1910,1910,newspaper,http://archives.nd.edu/Football/Football-1910c.pdf,/img/derivatives/simple/football-1910c/_image0/thumbnail.jpg,/img/derivatives/simple/football-1910c/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1910s,11,football-1910s.pdf,Notre Dame Scholastic Football Review - 1910,1910,newspaper,http://archives.nd.edu/Football/Football-1910s.pdf,/img/derivatives/simple/football-1910s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1910s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1911s,12,football-1911s.pdf,Notre Dame Scholastic Football Review - 1911,1911,newspaper,http://archives.nd.edu/Football/Football-1911s.pdf,/img/derivatives/simple/football-1911s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1911s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1912s,13,football-1912s.pdf,Notre Dame Scholastic Football Review - 1912,1912,newspaper,http://archives.nd.edu/Football/Football-1912s.pdf,/img/derivatives/simple/football-1912s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1912s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1913s,14,football-1913s.pdf,Notre Dame Scholastic Football Review - 1913,1913,newspaper,http://archives.nd.edu/Football/Football-1913s.pdf,/img/derivatives/simple/football-1913s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1913s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1914s,15,football-1914s.pdf,Notre Dame Scholastic Football Review - 1914,1914,newspaper,http://archives.nd.edu/Football/Football-1914s.pdf,/img/derivatives/simple/football-1914s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1914s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1915s,16,football-1915s.pdf,Notre Dame Scholastic Football Review - 1915,1915,newspaper,http://archives.nd.edu/Football/Football-1915s.pdf,/img/derivatives/simple/football-1915s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1915s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1916s,17,football-1916s.pdf,Notre Dame Scholastic Football Review - 1916,1916,newspaper,http://archives.nd.edu/Football/Football-1916s.pdf,/img/derivatives/simple/football-1916s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1916s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1917s,18,football-1917s.pdf,Notre Dame Scholastic Football Review - 1917,1917,newspaper,http://archives.nd.edu/Football/Football-1917s.pdf,/img/derivatives/simple/football-1917s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1917s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1918s,19,football-1918s.pdf,Notre Dame Scholastic Football Review - 1918,1918,newspaper,http://archives.nd.edu/Football/Football-1918s.pdf,/img/derivatives/simple/football-1918s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1918s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1919,20,football-1919.pdf,Notre Dame Football Review - 1919,1919,newspaper,http://archives.nd.edu/Football/Football-1919.pdf,/img/derivatives/simple/football-1919/_image0/thumbnail.jpg,/img/derivatives/simple/football-1919/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1919s,21,football-1919s.pdf,Notre Dame Scholastic Football Review - 1919,1919,newspaper,http://archives.nd.edu/Football/Football-1919s.pdf,/img/derivatives/simple/football-1919s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1919s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1920,22,football-1920.pdf,Notre Dame Football Review - 1920,1920,newspaper,http://archives.nd.edu/Football/Football-1920.pdf,/img/derivatives/simple/football-1920/_image0/thumbnail.jpg,/img/derivatives/simple/football-1920/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1920s,23,football-1920s.pdf,Notre Dame Scholastic Football Review - 1920,1920,newspaper,http://archives.nd.edu/Football/Football-1920s.pdf,/img/derivatives/simple/football-1920s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1920s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1921,24,football-1921.pdf,Notre Dame Football Review - 1921,1921,newspaper,http://archives.nd.edu/Football/Football-1921.pdf,/img/derivatives/simple/football-1921/_image0/thumbnail.jpg,/img/derivatives/simple/football-1921/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1921s,25,football-1921s.pdf,Notre Dame Scholastic Football Review - 1921,1921,newspaper,http://archives.nd.edu/Football/Football-1921s.pdf,/img/derivatives/simple/football-1921s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1921s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1922s,26,football-1922s.pdf,Notre Dame Scholastic Football Review - 1922,1922,newspaper,http://archives.nd.edu/Football/Football-1922s.pdf,/img/derivatives/simple/football-1922s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1922s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1924,27,football-1924.pdf,Notre Dame Football Review - 1924,1924,newspaper,http://archives.nd.edu/Football/Football-1924.pdf,/img/derivatives/simple/football-1924/_image0/thumbnail.jpg,/img/derivatives/simple/football-1924/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1925,28,football-1925.pdf,Notre Dame Football Review - 1925,1925,newspaper,http://archives.nd.edu/Football/Football-1925.pdf,/img/derivatives/simple/football-1925/_image0/thumbnail.jpg,/img/derivatives/simple/football-1925/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1926,29,football-1926.pdf,Notre Dame Football Review - 1926,1926,newspaper,http://archives.nd.edu/Football/Football-1926.pdf,/img/derivatives/simple/football-1926/_image0/thumbnail.jpg,/img/derivatives/simple/football-1926/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1927,30,football-1927.pdf,Notre Dame Football Review - 1927,1927,newspaper,http://archives.nd.edu/Football/Football-1927.pdf,/img/derivatives/simple/football-1927/_image0/thumbnail.jpg,/img/derivatives/simple/football-1927/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1928,31,football-1928.pdf,Notre Dame Football Review - 1928,1928,newspaper,http://archives.nd.edu/Football/Football-1928.pdf,/img/derivatives/simple/football-1928/_image0/thumbnail.jpg,/img/derivatives/simple/football-1928/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1929,32,football-1929.pdf,Notre Dame Football Review - 1929,1929,newspaper,http://archives.nd.edu/Football/Football-1929.pdf,/img/derivatives/simple/football-1929/_image0/thumbnail.jpg,/img/derivatives/simple/football-1929/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1930,33,football-1930.pdf,Notre Dame Football Review - 1930,1930,newspaper,http://archives.nd.edu/Football/Football-1930.pdf,/img/derivatives/simple/football-1930/_image0/thumbnail.jpg,/img/derivatives/simple/football-1930/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1930s,34,football-1930s.pdf,Notre Dame Scholastic Football Review - 1930,1930,newspaper,http://archives.nd.edu/Football/Football-1930s.pdf,/img/derivatives/simple/football-1930s/_image0/thumbnail.jpg,/img/derivatives/simple/football-1930s/_image0/fullwidth.jpg,scholastic_item,scholastic
football-1931,35,football-1931.pdf,Notre Dame Football Review - 1931,1931,newspaper,http://archives.nd.edu/Football/Football-1931.pdf,/img/derivatives/simple/football-1931/_image0/thumbnail.jpg,/img/derivatives/simple/football-1931/_image0/fullwidth.jpg,scholastic_item,scholastic
